cityid,carid,time,sales
0,1,2017-01-01,201
0,1,2017-02-01,115
0,1,2017-03-01,256
0,1,2017-04-01,177
0,1,2017-05-01,76
0,1,2017-06-01,234
0,1,2017-07-01,124
0,1,2017-08-01,477
0,1,2017-09-01,231
0,1,2017-10-01,365
0,1,2017-11-01,211
0,1,2017-12-01,501
0,1,2018-01-01,189
0,1,2018-02-01,113
0,1,2018-03-01,173
0,1,2018-04-01,198
0,1,2018-05-01,207
0,1,2018-06-01,169
0,1,2018-07-01,177
0,1,2018-08-01,234
0,1,2018-09-01,78
0,1,2018-10-01,213
0,1,2018-11-01,62
0,1,2018-12-01,124
0,1,2019-01-01,171
0,1,2019-02-01,177
0,1,2019-03-01,256
0,1,2019-04-01,309
0,1,2019-05-01,456
0,1,2019-06-01,124
0,1,2019-07-01,124
0,1,2019-08-01,123
0,1,2019-09-01,231
0,1,2019-10-01,234
0,1,2019-11-01,256
0,1,2019-12-01,188
0,2,2017-01-01,243
0,2,2017-02-01,171
0,2,2017-03-01,270
0,2,2017-04-01,111
0,2,2017-05-01,166
0,2,2017-06-01,169
0,2,2017-07-01,134
0,2,2017-08-01,145
0,2,2017-09-01,129
0,2,2017-10-01,122
0,2,2017-11-01,173
0,2,2017-12-01,268
0,2,2018-01-01,158
0,2,2018-02-01,149
0,2,2018-03-01,718
0,2,2018-04-01,928
0,2,2018-05-01,111
0,2,2018-06-01,206
0,2,2018-07-01,313
0,2,2018-08-01,343
0,2,2018-09-01,296
0,2,2018-10-01,192
0,2,2018-11-01,254
0,2,2018-12-01,195
0,2,2019-01-01,278
0,2,2019-02-01,153
0,2,2019-03-01,257
0,2,2019-04-01,167
0,2,2019-05-01,214
0,2,2019-06-01,113
0,2,2019-07-01,110
0,2,2019-08-01,133
0,2,2019-09-01,140
0,2,2019-10-01,268
0,2,2019-11-01,165
0,2,2019-12-01,166
0,3,2017-01-01,241
0,3,2017-02-01,213
0,3,2017-03-01,123
0,3,2017-04-01,123
0,3,2017-05-01,257
0,3,2017-06-01,124
0,3,2017-07-01,157
0,3,2017-08-01,178
0,3,2017-09-01,257
0,3,2017-10-01,223
0,3,2017-11-01,178
0,3,2017-12-01,266
0,3,2018-01-01,119
0,3,2018-02-01,212
0,3,2018-03-01,269
0,3,2018-04-01,132
0,3,2018-05-01,96
0,3,2018-06-01,161
0,3,2018-07-01,123
0,3,2018-08-01,211
0,3,2018-09-01,185
0,3,2018-10-01,154
0,3,2018-11-01,167
